vx,wabs,obstacle,align,follow,angle,fwd,twirl
0.108873,0.306425,0,22.1292,13.3238,0.601441,0,0.183855
0.0660046,0.310132,0,22.9336,13.7549,0.0857592,0,0.186079
0.000313064,0.277703,0,24.1096,14.9941,0.40179,0,0.166622
0.0158337,0.311851,0,23.7329,14.7105,0.174242,0,0.18711
0.146682,0.315166,0,22.4519,12.6137,0.65604,0,0.189099
0.0556939,0.247932,0,22.9932,13.9548,0.3185,0,0.148759
0.0977018,0.327385,0,22.7527,13.2435,0.161555,0,0.196431
0.0790263,0.366506,0,23.3592,13.6669,0.140383,0,0.219904
0.0150575,0.268105,0,23.9307,14.7129,0.555665,0,0.160863
0.0636724,0.352272,0,23.6536,13.8196,0.207098,0,0.211363
0.0181251,0.320472,0,23.8494,14.6685,0.564799,0,0.192283
0.00234375,0.247426,0,24.057,14.9551,0.441307,0,0.148455
0.0293729,0.288647,0,23.6294,14.5885,0.619032,0,0.173188
0.0231636,0.328324,0,23.9046,14.5762,0.0505848,0,0.196995
0.0850756,0.33369,0,22.1087,13.6636,1.01271,0,0.200214
0.0477187,0.346994,0,23.8985,14.2867,0.212079,0,0.208197
0.00460827,0.316786,0,23.9946,14.9146,0.172135,0,0.190072
0.0373417,0.297217,0,23.3728,14.3246,0.652314,0,0.17833
0.0389083,0.309095,0,23.6063,14.3572,0.309673,0,0.185457
0.0971078,0.324923,0,22.2715,13.8114,1.20223,0,0.194954
0.0433822,0.332915,0,23.8369,14.2976,0.429854,0,0.199749
0.0704702,0.372771,0,22.8443,13.7328,0.249832,0,0.223662
0.0018196,0.309126,0,24.0724,14.9676,0.775081,0,0.185476
0.0427063,0.337361,0,23.3148,14.2007,0.045835,0,0.202417
0.0315373,0.279443,0,23.5865,14.3957,0.0491757,0,0.167666
0.044664,0.356175,0,23.5687,14.1622,0.43035,0,0.213705
0.0540615,0.348492,0,23.4345,14.0098,0.971937,0,0.209095
0.125904,0.309512,0,22.4241,12.6593,0.302267,0,0.185707
0.110378,0.304597,0,21.8322,13.3631,0.632528,0,0.182758
0.0558077,0.225805,0,22.819,13.9357,0.167173,0,0.135483
0,0.264664,0,24.1197,15,0.364336,0,0.158799
0.0189294,0.262049,0,23.7513,14.6858,0.850549,0,0.157229
0.0974133,0.313466,0,23.0967,13.23,0.302138,0,0.188079
0.000290118,0.309638,0,24.1102,14.995,1.19729,0,0.185783
0.125268,0.257748,0,22.3748,12.6381,0.465904,0,0.154649
0.00831642,0.311236,0,23.8676,14.8562,1.02344,0,0.186742
0.0204782,0.328335,0,23.9543,14.7819,1.122,0,0.197001
0.01093,0.326769,0,23.9083,14.8029,0.0491199,0,0.196062
0.112576,0.30421,0,22.4266,12.9715,0.384445,0,0.182526
0.091599,0.32393,0,22.6048,13.3067,0.0917788,0,0.194358
0.0894649,0.351184,0,21.8099,13.6249,1.14403,0,0.21071
0.118872,0.359769,0,22.6485,13.9327,0.846259,0,0.215862
0.0544584,0.330838,0,23.3857,14.4598,0.975521,0,0.198503
0.0347878,0.325586,0,23.8761,14.3531,0.505297,0,0.195352
0.130436,0.285955,0,21.6538,12.6821,0.701515,0,0.171573
0,0.313491,0,24.1197,15,1.10459,0,0.188094
0.0759042,0.319159,0,22.7295,13.8094,1.00052,0,0.191495
0.0233999,0.286516,0,23.7506,14.6156,0.139795,0,0.171909
0.011038,0.315267,0,23.8491,14.8469,1.24119,0,0.18916
0.00213924,0.344742,0,24.0726,14.9652,0.659058,0,0.206845
0.0160943,0.336872,0,24.0462,14.8614,1.18098,0,0.202123
0.0120326,0.311394,0,23.8781,14.7795,0.378806,0,0.186836
0.0284596,0.392889,0,23.9469,14.6424,0.334532,0,0.235733
0.0347668,0.309885,0,23.7087,14.3825,0.133879,0,0.185931
0.007454,0.33209,0,24.0123,14.8852,1.03074,0,0.199254
0.0901541,0.290811,0,22.1066,13.8689,1.48191,0,0.174487
0.096021,0.318779,0,22.0788,13.4957,0.941498,0,0.191267
0.0593677,0.302756,0,23.146,13.8845,0.265136,0,0.181654
0.0772454,0.265959,0,23.3533,13.5426,0.150001,0,0.159575
0.0372866,0.325663,0,23.2146,14.4201,1.26626,0,0.195398
0.063348,0.327764,0,22.9238,13.8265,0.69268,0,0.196659
0.159507,0.241112,0,21.6718,11.9591,0.228154,0,0.144667
0.03166,0.375524,0,23.7508,14.5032,0.225715,0,0.225315
0.0148029,0.330854,0,23.7121,14.7247,0.63964,0,0.198513
0.0626273,0.343938,0,23.1848,14.2611,0.833721,0,0.206363
0.134877,0.306651,0,21.9148,12.6245,0.574706,0,0.183991
0.00304471,0.337856,0,24.0677,14.942,0.179745,0,0.202714
0,0.34139,0,24.1197,15,0.224855,0,0.204834
0.04064,0.340163,0,23.6477,14.6306,0.834181,0,0.204098
0.0129956,0.341132,0,23.8794,14.7837,0.146633,0,0.204679
0.13444,0.33858,0,22.1994,12.8236,0.00461483,0,0.203148
0.033398,0.327941,0,23.5276,14.4169,0.641077,0,0.196765
0.0695161,0.339992,0,22.9271,14.0655,0.470695,0,0.203995
0.0108509,0.363454,0,23.9606,14.8045,0.19078,0,0.218072
0.0458053,0.315371,0,23.631,14.2031,0.157895,0,0.189223
0.0770228,0.294576,0,23.3031,14.0752,0.897947,0,0.176746
0.0578768,0.3505,0,23.2429,13.905,0.395114,0,0.2103
0.00894141,0.274023,0,23.8595,14.8338,0.500164,0,0.164414
0,0.262866,0,24.1197,15,0.162961,0,0.15772
0.00962515,0.309816,0,23.963,14.8375,0.778372,0,0.185889
0.106618,0.274223,0,22.7255,13.4769,0.630531,0,0.164534
0.0154635,0.315961,0,23.9314,14.7685,0.835035,0,0.189577
0.0162433,0.321414,0,23.9231,14.6893,0.120632,0,0.192848
0.0677583,0.347014,0,22.517,13.8805,0.992625,0,0.208209
0.00391843,0.291586,0,24.0862,14.9266,0.0279346,0,0.174952
0.00700076,0.296778,0,24.0944,14.8746,0.178329,0,0.178067
0.00741018,0.304197,0,24.025,14.8581,0.151704,0,0.182518
0.00732383,0.317096,0,23.9889,14.908,0.884251,0,0.190258
0.0153774,0.360557,0,23.9629,14.7451,0.286126,0,0.216334
0.00608936,0.282775,0,24.0701,14.8875,0.0484428,0,0.169665
0,0.319366,0,24.1197,15,0.222819,0,0.191619
0.127888,0.330168,0,22.3814,12.8531,0.122467,0,0.198101
0.0455459,0.313362,0,23.4998,14.4439,1.41791,0,0.188017
0.114816,0.360351,0,21.8853,13.545,0.839993,0,0.216211
0,0.345021,0,24.1197,15,0.144302,0,0.207012
0.0806603,0.348826,0,22.3545,13.4714,0.0487986,0,0.209296
0,0.30549,0,24.1197,15,0.0428023,0,0.183294
0.0205844,0.252478,0,23.4821,14.6437,1.0782,0,0.151487
6.54198e-05,0.316881,0,24.1177,14.9989,1.08918,0,0.190128
0.0596324,0.374545,0,23.9389,14.2268,0.0589452,0,0.224727
0.0266553,0.29206,0,23.7421,14.5231,0.550267,0,0.175236
0.169504,0.298396,0,22.2141,12.0434,0.587785,0,0.179038
0.0757798,0.330998,0,22.9802,13.7085,0.273964,0,0.198599
0.00251112,0.319384,0,24.0478,14.9518,0.111411,0,0.191631
0,0.310659,0,24.1197,15,0.72164,0,0.186395
0.00891345,0.351471,0,23.9821,14.8409,0.469888,0,0.210882
0.00891563,0.321244,0,23.8538,14.8357,0.225384,0,0.192747
0.0264368,0.340031,0,23.6472,14.6387,1.19554,0,0.204019
0.0741335,0.31973,0,23.3549,13.6703,0.704595,0,0.191838
0.0206142,0.317794,0,23.9696,14.7431,1.1577,0,0.190676
0.078199,0.369392,0,22.4567,14.0794,1.22512,0,0.221635
0,0.307103,0,24.1197,15,0.435988,0,0.184262
0,0.362979,0,24.1197,15,0.811914,0,0.217788
0.0246291,0.341011,0,23.7194,14.7029,0.727908,0,0.204607
0.0542755,0.339424,0,23.7038,14.5695,0.86368,0,0.203655
0.0861298,0.289357,0,22.4478,13.3604,0.152615,0,0.173614
0.0937619,0.296327,0,22.6187,13.263,0.48805,0,0.177796
0.0901558,0.301498,0,22.4623,13.8099,1.47957,0,0.180899
0.0505087,0.251133,0,23.2839,14.2922,1.19876,0,0.15068
0,0.317516,0,24.1197,15,0.712688,0,0.19051
0.117821,0.293508,0,22.6392,12.8674,0.0940409,0,0.176105
0.0599347,0.350123,0,22.5838,14.1418,1.27625,0,0.210074
0.00131829,0.344699,0,24.107,14.9778,0.451155,0,0.206819
0.00368232,0.329796,0,24.0899,14.9302,0.39344,0,0.197878
0.114106,0.268193,0,22.432,12.9124,0.0144114,0,0.160916
0.101657,0.313894,0,22.1854,13.4898,1.05728,0,0.188337
0.0762051,0.336583,0,23.6458,13.7864,0.0664825,0,0.20195
0.054897,0.349412,0,23.4127,14.1222,0.0516672,0,0.209647
0.00527517,0.359972,0,24.029,14.9152,0.412407,0,0.215983
0.00386945,0.325711,0,24.0001,14.935,1.18374,0,0.195427
0.080049,0.367308,0,23.8746,13.9366,0.479094,0,0.220385
