t,x,y,yaw,cmd_vx,cmd_wz,scan_min,map_x,map_y
2.9825,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8241,nan,nan
2.9888,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8241,nan,nan
2.9989,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8241,nan,nan
3.0090,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8241,nan,nan
3.0193,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8241,nan,nan
3.0292,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8241,nan,nan
3.0390,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8241,nan,nan
3.0491,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8241,nan,nan
3.0593,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8241,nan,nan
3.0718,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8241,nan,nan
3.0814,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8303,nan,nan
3.0909,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8303,nan,nan
3.0989,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8303,nan,nan
3.1091,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8303,nan,nan
3.1196,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8303,nan,nan
3.1294,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8303,nan,nan
3.1393,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8303,nan,nan
3.1493,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8303,nan,nan
3.1592,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8303,nan,nan
3.1692,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8303,nan,nan
3.1815,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8304,nan,nan
3.1891,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8304,nan,nan
3.1992,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8304,nan,nan
3.2095,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8304,nan,nan
3.2192,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8304,nan,nan
3.2298,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8304,nan,nan
3.2403,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8304,nan,nan
3.2495,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8304,nan,nan
3.2597,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8304,nan,nan
3.2695,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8304,nan,nan
3.2788,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8304,nan,nan
3.2893,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8299,nan,nan
3.3005,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8299,nan,nan
3.3106,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8299,nan,nan
3.3196,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8299,nan,nan
3.3297,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8299,nan,nan
3.3396,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8299,nan,nan
3.3490,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8299,nan,nan
3.3589,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8299,nan,nan
3.3690,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8299,nan,nan
3.3809,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8268,nan,nan
3.3915,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8268,nan,nan
3.3990,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8268,nan,nan
3.4091,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8268,nan,nan
3.4201,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8268,nan,nan
3.4293,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8268,nan,nan
3.4398,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8268,nan,nan
3.4493,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8268,nan,nan
3.4593,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8268,nan,nan
3.4691,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8268,nan,nan
3.4798,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8290,nan,nan
