t,x,y,yaw,v,w
8.042,1.2000,5.0000,0.0000,0.0000,0.0000
8.062,1.2000,5.0000,0.0000,0.0000,0.0000
8.082,1.2000,5.0000,0.0000,0.0000,0.0000
8.102,1.2000,5.0000,0.0000,0.0000,0.0000
8.122,1.2000,5.0000,0.0000,0.0000,0.0000
8.142,1.2000,5.0000,0.0000,0.0000,0.0000
8.162,1.2000,5.0000,0.0000,0.0000,0.0000
8.182,1.2000,5.0000,0.0000,0.0000,0.0000
8.202,1.2000,5.0000,0.0000,0.0000,0.0000
8.222,1.2000,5.0000,0.0000,0.0000,0.0000
8.243,1.2000,5.0000,0.0000,0.0000,0.0000
8.262,1.2000,5.0000,0.0000,0.0000,0.0000
8.282,1.2000,5.0000,0.0000,0.0000,0.0000
8.302,1.2000,5.0000,0.0000,0.0000,0.0000
8.322,1.2000,5.0000,0.0000,0.0000,0.0000
8.342,1.2000,5.0000,0.0000,0.0000,0.0000
8.362,1.2002,5.0000,-0.0000,0.0122,-0.0010
8.382,1.2005,5.0000,-0.0000,0.0122,-0.0010
8.402,1.2007,5.0000,-0.0001,0.0122,-0.0010
8.422,1.2010,5.0000,-0.0001,0.0122,-0.0010
8.442,1.2014,5.0000,-0.0002,0.0189,-0.0075
8.462,1.2017,5.0000,-0.0004,0.0189,-0.0075
8.482,1.2021,5.0000,-0.0005,0.0189,-0.0075
8.502,1.2025,5.0000,-0.0007,0.0189,-0.0075
8.522,1.2029,5.0000,-0.0008,0.0189,-0.0075
8.542,1.2033,5.0000,-0.0009,0.0226,-0.0032
8.562,1.2038,5.0000,-0.0010,0.0226,-0.0032
8.582,1.2042,5.0000,-0.0010,0.0226,-0.0032
8.602,1.2047,5.0000,-0.0011,0.0226,-0.0032
8.622,1.2051,5.0000,-0.0012,0.0226,-0.0032
8.642,1.2056,5.0000,-0.0010,0.0255,0.0086
8.662,1.2061,5.0000,-0.0008,0.0255,0.0086
8.682,1.2067,5.0000,-0.0006,0.0255,0.0086
8.702,1.2072,5.0000,-0.0005,0.0255,0.0086
8.722,1.2077,5.0000,-0.0003,0.0255,0.0086
8.742,1.2082,5.0000,-0.0004,0.0284,-0.0046
8.762,1.2088,5.0000,-0.0005,0.0284,-0.0046
8.783,1.2094,5.0000,-0.0006,0.0284,-0.0046
8.803,1.2099,5.0000,-0.0007,0.0284,-0.0046
8.822,1.2105,5.0000,-0.0008,0.0284,-0.0046
8.842,1.2111,5.0000,-0.0008,0.0292,-0.0009
8.863,1.2117,5.0000,-0.0008,0.0292,-0.0009
8.882,1.2123,5.0000,-0.0008,0.0292,-0.0009
8.902,1.2129,5.0000,-0.0008,0.0292,-0.0009
8.923,1.2134,5.0000,-0.0008,0.0292,-0.0009
8.942,1.2140,5.0000,-0.0009,0.0291,-0.0043
8.963,1.2146,5.0000,-0.0010,0.0291,-0.0043
8.982,1.2152,5.0000,-0.0011,0.0291,-0.0043
9.002,1.2158,5.0000,-0.0012,0.0291,-0.0043
9.022,1.2163,5.0000,-0.0013,0.0291,-0.0043
9.043,1.2170,5.0000,-0.0015,0.0309,-0.0113
9.062,1.2176,5.0000,-0.0017,0.0309,-0.0113
9.082,1.2182,5.0000,-0.0020,0.0309,-0.0113
9.102,1.2188,5.0000,-0.0022,0.0309,-0.0113
9.123,1.2194,5.0000,-0.0024,0.0309,-0.0113
9.143,1.2201,5.0000,-0.0022,0.0317,0.0115
9.162,1.2207,5.0000,-0.0019,0.0317,0.0115
9.182,1.2213,5.0000,-0.0017,0.0317,0.0115
9.202,1.2220,5.0000,-0.0015,0.0317,0.0115
9.222,1.2226,5.0000,-0.0013,0.0317,0.0115
9.243,1.2232,5.0000,-0.0011,0.0309,0.0089
9.262,1.2238,5.0000,-0.0009,0.0309,0.0089
9.282,1.2244,5.0000,-0.0007,0.0309,0.0089
9.302,1.2251,5.0000,-0.0005,0.0309,0.0089
9.322,1.2257,5.0000,-0.0004,0.0309,0.0089
9.343,1.2263,5.0000,-0.0003,0.0323,0.0027
9.363,1.2270,5.0000,-0.0003,0.0323,0.0027
9.383,1.2276,5.0000,-0.0002,0.0323,0.0027
9.403,1.2283,5.0000,-0.0001,0.0323,0.0027
9.422,1.2289,5.0000,-0.0001,0.0323,0.0027
9.442,1.2296,5.0000,-0.0003,0.0339,-0.0114
9.462,1.2303,5.0000,-0.0005,0.0339,-0.0114
9.482,1.2309,5.0000,-0.0008,0.0339,-0.0114
9.502,1.2316,5.0000,-0.0010,0.0339,-0.0114
9.522,1.2323,5.0000,-0.0012,0.0339,-0.0114
